ZillowRegionName,BEARegionName,SizeRank,2021,2022,2023,Income Rank in US,% change (2021-2022),% change (2022-2023)
"Greenville, SC","Greenville-Anderson, SC",61,"51,744","53,156","55,747",245,2.7,4.9
"Albuquerque, NM","Albuquerque, NM",62,"52,372","54,687","57,278",216,4.4,4.7
"Bakersfield, CA","Bakersfield, CA",63,"46,934","44,595","47,350",359,-5.0,6.2
"Albany, NY","Albany-Schenectady-Troy, NY",64,"66,929","67,884","71,972",57,1.4,6.0
"Knoxville, TN","Knoxville, TN",65,"57,581","58,941","62,167",140,2.4,5.5
"Baton Rouge, LA","Baton Rouge, LA",66,"56,987","58,423","61,972",146,2.5,6.1
"McAllen, TX","McAllen-Edinburg-Mission, TX",67,"34,807","32,961","34,373",384,-5.3,4.3
"New Haven, CT","New Haven-Milford, CT",68,"64,206","64,998","68,387",82,1.2,5.2
"El Paso, TX","El Paso, TX",69,"44,213","44,062","46,732",365,-0.3,6.1
"Allentown, PA","Allentown-Bethlehem-Easton, PA-NJ",70,"61,836","62,900","66,493",94,1.7,5.7
"Oxnard, CA","Oxnard-Thousand Oaks-Ventura, CA",71,"74,252","73,994","78,091",33,-0.3,5.5
"Columbia, SC","Columbia, SC",72,"54,066","54,683","57,976",199,1.1,6.0
"North Port, FL","North Port-Sarasota-Bradenton, FL",73,"69,235","70,120","74,949",47,1.3,6.9
"Charleston, SC","Charleston-North Charleston, SC",75,"61,901","64,567","68,486",80,4.3,6.1
"Greensboro, NC","Greensboro-High Point, NC",76,"51,874","53,734","56,030",240,3.6,4.3
"Stockton, CA","Stockton, CA",77,"55,952","56,363","59,361",182,0.7,5.3
"Cape Coral, FL","Cape Coral-Fort Myers, FL",78,"61,275","61,510","65,878",100,0.4,7.1
"Boise City, ID","Boise City, ID",79,"58,086","61,112","63,689",123,5.2,4.2
"Colorado Springs, CO","Colorado Springs, CO",80,"59,608","62,021","65,775",101,4.0,6.1
"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",81,"55,386","56,399","59,463",181,1.8,5.4
"Lakeland, FL","Lakeland-Winter Haven, FL",82,"43,780","43,103","44,430",375,-1.5,3.1
"Akron, OH","Akron, OH",83,"59,583","59,609","62,904",130,0.0,5.5
"Des Moines, IA","Des Moines-West Des Moines, IA",84,"63,195","65,423","68,420",81,3.5,4.6
